content,engagement,comments
"🔪 10 years ago, I felt like I'd been stabbed.

It was supposed to be a ""normal"" run during PE.

My diaphragm ached, but an imaginary hand was squeezing my heart.


🛏️ Then, I started having chest pain when resting.

Always a sudden squeeze of the heart.
Always lasts for a minute each time.
Always happens every few months.


""You just need more exercise,"" the doctors said.
👍 ""Maybe you're unfit or stressed.""
👍 ""You're under 20 years old. Your heart should be fine.""
👍 ""It doesn't happen frequent enough to warrant a test.""


🔪 10 years later, the stabbings returned when I tried to sleep on my back.

No other heart attack symptoms.
Still lasts for a minute each time.
Still happens infrequently.

All in all, nothing new to me.


But it was ""abnormal"" to my friend.

She urged me to do a scan.

One abnormal scan result led to another.

Then, I found it: I have a small hole in my heart.

Minor birth defect. Nothing fatal.
But big enough to cause some pain.


👉🏻 Remember: Unprovoked pain or bodily changes could hint at something more serious.

✅ Get it checked out.
✅ Don't let anyone gaslight you.

If you listen to your body when it whispers, you won't have to hear it scream.


P.S. I'm curious to hear if anyone's been gaslit medically too. Too young for X, too old for Y, or too rare to have Z 👇🏼

…see more",7,5
"One truth I learned about ideas after reading 700,000+ words of fanfiction over the summer:

Ideas come from everywhere.

For one author, his 2,000-word fanfiction idea came from a friend who had, in real life, met a good-looking construction worker that was working on a new building in the neighborhood.

Another author chanced upon a video of Dua Lipa's performance on their Twitter feed and was reminded of their favorite couple pairing. In this pairing, one of the characters is feminine and beautiful, while that character's partner is muscular with tattoos. These physical characteristics fit well into the stereotypes of a singer and a bodyguard, so the author went on to write a 5,000-word story about the couple in the Singer + Bodyguard Alternate Universe.

How, then, can you harness this truth to your advantage?

Find an easy way for you to capture fleeting ideas. That's it.

This ""easy way"" could be anything. Personally, I'm using the daily notes function in JourneyOS, the note-taking and task management app I'm currently building with my good friend. It's still in beta, but JourneyOS lets you capture ideas and tasks quickly. It also encourages you to act (more) on what you know by resurfacing existing notes.

But I've also seen people who use the native notes app on their phones, and people who carry around a small notepad and pen wherever they go. Try a few methods and stick to whatever works for you.

…see more",29,1
"My grandma never went to school, but...


🧑‍🏫 She learned by osmosis.

My grandma spoke Chinese dialects at home:
- Teochew with her maiden family
- Hokkien with my grandpa's family

She also picked up:
🇨🇦 Conversational English while working for Canadian employers
🇲🇾🇨🇳 Conversational Malay and Mandarin from her customers while selling fish

Her ability to learn from her environment helped her later, when...


📈 She sought opportunities to upgrade herself.

My grandma started her career with what she knew:
🍼 Taking care of children
🧹 Cleaning physical spaces

When she started working at a government agency, her skillset limited her to sweeping roads under the hot sun.

As machines slowly took over her role, she upskilled herself with courses.

This helped her transition into a different role within the same agency:

Detecting mosquitoes in stagnant water.

***

My grandma couldn't read or write.

But she didn't let that get in the way of her education.

So, as a first-generation college student, I'm starting my third year of university in honor of her.

If you'd like to follow my journey of learning by osmosis, subscribe to my weekly newsletter on intentional living:


…see more",58,2
"I used to order lattes.

Then, ~2 years ago, my digestive system started rejecting it.

Mostly because of the milk used.


☕ But I HATE black coffee.

🌱 Plant-based milk was uncommon and expensive.


So, I stubbornly endured the toilet emergencies 🧻

...until someone showed me a diagram depicting different coffee drinks.


With my fingers crossed, I switched to a cappuccino.

Now I get to enjoy my coffee AND milk in peace.


Stubbornness in the face of failure can be admirable...

🧠 But being open-minded to tweaks can change your life.


👇 What were you previously stubborn about, but later changed your mind?


P.S. Here's my cappuccino from today to bless your day/night!
…see more",10,9
"I woke up 2 hours later than usual today.


⚽ A soccer match final happened last night.

📺 My neighbors were cheering their team on, staying up till 4am to watch it.

😅 I could hear them through my noise-cancelling headphones.

After trying to fall asleep for 2 hours (and failing), I got up and sketched.

It was something I've been putting off. Within 2 hours, I was more or less done.


It's not how I planned my night to go, but
♥️ having kindness for myself
🏄‍♀️ going with the flow

helped me kickstart something I've been procrastinating on.


👇 A on the Aries zodiac sign. I'm learning to read natal charts and improve my intuition!
…see more",5,2
"Tears were streaming down my face.

I was at a manifestation workshop last week.

Our guide asked us to pick a heavy emotion like guilt, shame, or grief.

Then, we each asked ourselves,
""What does this emotion feel like in my body?""

I picked guilt, because it was a recent emotion.

Immediately, my chest started constricting.
My nose felt pinched.
My eyes got watery.

As instructed, I sat with the discomfort.
Let myself feel everything.
Then thanked my body for showing me.


🤯 Interestingly, I felt refreshed afterwards.

Our default response to heavy emotions is to suppress them.

Or numb ourselves to the pain, sometimes with alcohol or other substances.


Over time, we either become numb to everything and feel ""lost""...

or the feelings pop back up, causing chaos.


Your feelings are whispers from your body.

Sit with them. Let yourself feel.

Then thank them for showing you what you need to know, and let them go.




…see more",21,1
"Know someone who had their internship plans disrupted? Share this free resource for sourcing internships with them: https://lnkd.in/fFH4m-k

[Employers - from MNCs to startups to non-profits, we need your support!]
For employers who are still looking to hire for this summer, be it in the US, Singapore, China, Remote, or other locations, you can list your internships here:


COVID-19 has disrupted lives, livelihoods, businesses, and communities worldwide. We are stepping up to help provide a not-for-profit platform for aspiring students with disrupted internship plans to find a suitable internship for this summer. There is a significant information asymmetry in who's still hiring and who's still looking, so we really hope this helps.

Tagging:
Asim Jenna
…see more",0,0
"I played >300 hours of Tetris on Facebook when I was younger.

It was usually me VS another person.

Sometimes I'd lose on purpose, just to see how my opponent played.

2 of the most common strategies are similar to how we can play the game of life.

👇 Here's a sneak peak of my thoughts!

I'll be delving deeper into this analogy in my weekly newsletter, Tea For Thought.

Tea gets served every Tuesday. Subscribe here:
…see more",13,3
"My heart stopped when I saw this screenshot in Slack.

""There's an error in the code, but it's not something I can edit,"" a student had reported.

As the Lead Curriculum Developer intern this year, I was supposed to ensure a smooth assessment week for everyone—

—such as catching errors like this during code review.

Here's what I would do in the future when things ""slip through the cracks"":

🎚️ 1) Assess the situation and employ damage control.

I had two options:
1) Correct the error, but cause disruption to students' work
2) Ignore the error and inform everyone that the question will be manually graded

When this error occurred, it was already halfway through assessment week.

Very likely, most students have already started on their submissions.

In this context, to minimize damage to the students' assessment experience, I went with Option 2.


☑️ 2) Prevent the mistake from happening again

I won't be in this role next year, so for the next Lead intern to avoid my mistakes, I'm:
📝 Listing out the subtasks involved in various processes
⏱️ Organizing these processes and tasks into suggested timelines
✅ Crafting checklists of what to look out for during reviews

Of course, no system is 100% foolproof.

But that's a chance for next year's Lead to
📝 Document their solutions to novel situations
📈 Improve the system for the next Lead

So, the next time accidents happen:
👉🏻 Identify what damage you want to minimize and act on it.
👉🏻 Systematize, document, and checklist your processes.
👉🏻 Make good use of your systems and tools!
…see more",20,0
"Yesterday, I had the privilege of sending off the Taiwanese delegation competing in the WorldSkills International Competition. The one thing I learned from them that I'll be applying to my work as a developer:

Take care of the details to remove friction.

The organizing team gave every member of the delegation a bright orange luggage strap branded with the WorldSkills Chinese Taipei logo. The straps help everyone quickly identify and pick up each other's baggage, hastening the entire baggage pickup process.

Everyone also received a blue ziplock bag containing travel necessities: two socket adapters, SIM cards, etc. For competitors, that means they can focus more on preparing for the competition instead of worrying about how to obtain these necessities if they had forgotten to pack them.

The details to take care of as a developer can be tiny: whether you have a second monitor to see your code and its output simultaneously, the code formatter you choose to use, or even the color theme of your code editor to minimize eye fatigue. However, optimizing them to make your work frictionless sometimes makes all the difference.

What is one detail you take care of in your work, and how does it help you?

…see more",31,0
"How to be irreplacable by AI:

Keep learning...

But be strategic about it.

Learning has 2 types:
1. Learning of information
2. Learning from lived experiences


The first one is easily done by AI.

AI is smart, but it can't have experiences.

So: Prioritize extracting feedback from your lived experiences.

Want to learn how? I explain more in my newsletter here 👇🏼
…see more",5,0
"The unbalanced burrito:
♨️ Falls into hot water
💧Gets soggy and undelicious

The balanced burrito:
✅ Gets steamed evenly
🍽️ Tastes heavenly

Just like my burrito here, a balanced life needs support:
🌲 from your environment
👯‍♂️ from your family and friends
🥰 from you (through your actions!)

How are you keeping the balance in your life this month?
…see more",8,5
"After living in 4 countries in the past 2 years for university...

I realized I was ""hugging the x-axis"" 👇🏼


When you ""hug the x-axis"", you're usually afraid of:
- Defining yourself by a single identity
- Being tied to a single place
- Commitment in general

💡 As a result, you might jump from idea to idea...
🌎 or country to country...
👩🏻‍🏫 or career to career...
... without a lot of ""results"" to show for it.


⚠️ There's nothing wrong with experimentation and exploration.
They help you figure out what you like and don't like.

Personally, living in so many countries has helped me think about:
✅ the people, culture and vibes
✅ the infrastructure
✅ the climate
of the place I want to call home in future.

But ultimately, if you want your efforts to compound:

Be intentional about your experimentations,
pick a handful of endeavors,
and just commit.

I first learned about this concept from David Perell.

Here's his long-form essay—worth a read:
…see more",33,2
