content,engagement,comments,personal_exp
"A simple yet highly effective strategy that will transform your productivity.

If you're striving for greater focus and clarity in achieving your goals…

This rule is your secret weapon.

If you're an entrepreneur overwhelmed by the multitude of goals and tasks on your plate, this method is designed for you.

If you're content with juggling countless goals without clear focus or direction, then this might not be the solution you're looking for.

Many struggle with prioritizing their goals and end up spread too thin.

This results in mediocre performance across many tasks instead of excellent performance in a few key areas.

The issue lies in the lack of a clear, focused strategy for goal prioritization.

The 25-5 Rule is famously used by Warren Buffett.

Buffett credits this rule with helping him concentrate on what truly matters for his unprecedented success in the investment world.

Here's how the 25-5 Rule works:

Step 1: Write down your top 25 career goals.
Step 2: Circle the five most important goals. These are your primary focus.
Step 3: The remaining 20 goals that you didn’t circle? These become your 'avoid at all cost' list.

No matter what, these things get no attention from you until you've succeeded with your top five.

It's more important than ever to have a clear focus.

The 25-5 Rule is relevant because it provides a simple, yet powerful framework for cutting through the noise and concentrating on what truly matters for your success.

By adhering to this rule, Warren Buffett has become one of the wealthiest and most respected investors in the world.

His success serves as a powerful case study of the effectiveness of focused goal prioritization.

Take control of your success today.

Apply the 25-5 Rule and become the focused, goal-oriented entrepreneur you aspire to be.

Remember, success is about doing a few things exceptionally well, not doing many things averagely.

Start now!

",14,4,FALSE
"just landed in NYC. will be here for the next 2 weeks!🗽

prioritizing time with AI-focused founders and investors.

tag someone you think I should meet 👋🏼",12,1,FALSE
"Me at 21:

- Told to lower my standards
- Paralyzed by fear of criticism
- Struggling with mental health

Me at 31:

- Creating a fulfilling career
- Love sharing what I create
- Thriving mental health

10 years can change everything.

Don’t give up.

",24,0,TRUE
"Balancing energy and managing data might seem unrelated.

But, when analyzed, they both have one core commonality:

Strategic use of resources.

10 best practices from energy and data management to unlock peak performance 👇🏼

",4,0,TRUE
"Remember, you’re exactly where you’re supposed to be.

Stop choosing to feel rushed.

Yes, with enough awareness, you'll realize it's a choice.

",10,0,FALSE
"I moved back to SF. My story, why it's relevant for folks building in AI, and why I'm back 🌁 👇🏼

I'm originally from Chicago.

Yet, I was fascinated with the Bay Area from a young age. The intersection of beauty in nature and creativity in technical innovation is unparallel to just about anywhere in the world.

I first moved to SF in 2016 to work at . I led UX for one of their first AI products, which I released at a Dreamforce keynote.

After working at Salesforce for a few years, I joined to work on Maps and Search. I learned how to build at a more massive scale for 2B+ MAU.

Then, covid hit. The city started to change. People were fleeing. Remote work was the norm. I always wanted to live nomadically, so this was the perfect opportunity.

I moved out of SF, quit Google, and focused on my previous startup (Design To Be) full-time, all while traveling the world. After a year of working and traveling, I was itching for roots again.

I'd always been curious about LA. So, I decided to give it a try.

I love LA. The startup ecosystem is abundant and ever-growing – especially for folks building in the CPG, creator, and wellness ecosystems. And the lifestyle is incredible 🌴

What's become evident is that getting off the ground is my top priority. This clarity led to 7+ mo of sobriety, daily movement and meditation, a shift in the types of people I connect with, etc. (tldr a refinement in how I invest my time)

After insane AI advancements in March, I had the pull to be in SF for most of April. SF has proven to be the epicenter of AI, especially with Sam Altman and other AI leaders who have spoken out against remote work.  So, top AI talent and innovators are here.



While in SF in April, I experienced more serendipity and flow than I've yet to experience. Progress in what I was building was taking new speed. And as much as connections can be made online, genuine relationships are built in person.

Upon returning to LA after my time in SF, I knew I needed to move back to get off the ground. What’s been wild about life lately is that upon devoting more of my energy to my purpose, that’s much greater than me, big decisions have become crystal clear.

I'm super excited to be back in the bay area. If you're based in the bay and are a founder or investor in AI, I'd love to chat. Send me a DM/comment on this post, and let's grab coffee ☺️

",197,2,TRUE
"when Clem Delangue 🤗 comes into town ✨

SHACK15 + Hugging Face community 🤗",3,0,FALSE
"2023 State of AI in 14 Charts via Stanford Institute for Human-Centered Artificial Intelligence (HAI)

What this means for founders and startups 👇🏼

TLDR – Embrace diversity, stay informed on regulations, align with government initiatives, prioritize ethical AI, and foster strong AI talent to navigate the evolving AI landscape. Seize opportunities and drive innovation in the competitive, fast-paced world of artificial intelligence.

What other takeaways do you have from these insights?
",1,0,FALSE
"Let's talk about SWAT teams.

In 🎋 bamboo construction.

Because that's what the latest guest on the - of - is well-versed in.

Ewe Jin practice as a conventional architect in the UK, Australia and Southeast Asia for 30 years.

Then, he made a big move to Bali.

And worked as Lead Architect in - where he was first exposed to bamboo architecture!

Some of the interesting projects he was involved in include 

🎍 Green School Bali
🎍 Restaurant Building (Principe, Africa)
🎍 Pool Bar Building (Maldives)
🎍 KAMSIA Building (his own home!)

ESG/sustainability is on everyone's lips now & bamboo is naturally an element that is gaining prominence as everyone tries to make everything more sustainable / environmentally friendly.

That said:

❓ What is bamboo really like?

❓ What are the challenges inherent in working with it?

❓ What are the costs involved in using bamboo 🎋 (instead of conventional materials like cement?!)

This is a more technical topic than most STIMY episodes but I think it's a really interesting one.

And a STIMY trademark is in the variety of guests & subject matters we touch on, after all. 😉

I hope you enjoy this episode.

Please do let us know what you think in the comments below!


P/S: To listen to Ewe Jin's episode, follow the links in the comment below.
",16,1,FALSE
"Do you want to meet new & interesting people in… London? 🫣

I’ll be back next month!

And I’m thinking of hosting a mini STIMY Hangout in London:

𝗗𝗮𝘁𝗲: 18 May 2023 (Thursday)
𝗧𝗶𝗺𝗲: 6pm onwards
𝗩𝗲𝗻𝘂𝗲: TBC - Central London (depends on no of attendees! If you have any suggestions, please let me know)

It’ll be cozy, casual with no fixed agenda (beyond making new friends!).

But who knows what might happen? 😉

From last STIMY Hangouts, attendees have:

🔥 Made new besties (that they still meet outside of the hangouts!)

🔥 Found new clients 😱

🔥 Forged new work collaborations

🔥 Given career / interview coaching sessions to each other

🔥 Met many other likeminded people (having a shared interest in the really helps to draw together people of similar interests! 🤩)

And there might be other stories I haven’t heard yet?!

If interested, just leave a comment!

Will add you to the Discord group to discuss further.


P/S: Please let me know if breakfast on a weekday works and if you have any recommendations for locations! I’m a little out of touch with the City 😅

P/P/S: Maybe we should call ourselves the STIMIES = So This (Is) My Homies 🤣?
",59,1,FALSE
"We’re entering a busy filming period at STIMY!

Beginning with none other than Adlin Yusman - Managing Director of .

Who came expecting to talk about startups and fundraising - which we did.

But…

We opened up with a hantu (ghost) story instead.

Because if you’ve ever listened to an episode on the , you’ll know that I love digging deep into every STIMY guest’s life. 🤣

And we managed to uncover a couple of real gems.

Including stories that Adlin has never shared anywhere else before.

Stay tuned. 😎


P/S: Special thanks to for the incredible behind-the-scenes footage!
",31,6,FALSE
"It's easy to make new friends when you're an adult with a full-time job.

You just need to do 1 thing. 😉

But before we get into that, let's consider this first: How do you normally make friends?

👉🏻 By meeting new people & spending time together.

Which becomes exceedingly hard to do as we get older, if not impossible.

Unless... you start building in public. 😏

*

Personally, I started the with 4 clear goals in mind:

1️⃣  Meet new & interesting people outside of law (aka expand my network)

2️⃣ Acquire new non-legal skills that would make me far more marketable outside the legal sphere

E.g. marketing, copywriting, operations, BD etc

3️⃣ Build something that's mine & mine alone

To avoid the situation where if I left my job, I'd be left with nothing.

4️⃣ Find/attract other people who have the same values & interests as me.

Which has turned into 5 STIMY Hangouts so far in Malaysia, London & Singapore.

A place for 40+ complete strangers to meet & get to know each other.

Each hangout ends up running for 4+ hours (with separate gatherings being held outside of these official hangouts!).

4 hours is a shocking amount of time, but it's also unsurprising because these gatherings attract strangers with similar values and interests, i.e. People who:

✅ Are thinking of / in the process of / have quit their job

✅ Know that there is more to life than this (+ are actively looking to do/give back more)

✅ Are ambitious / Want to step outside their comfort zone (even if they're very happy with their current job)

This wouldn't have happened if I hadn't taken the first step in sharing my personal story & struggles (alongside other more impressive people on STIMY).

In the process, I became a conduit.

A sieve.

You'd stick around if you resonate with these stories.

Listen more.

Even reach out via DM or when a STIMY Hangout happens.

And when you do meet, you'll find that you ""click"" and want to hang out more.

And that, is how a tribe is formed.

𝐓𝐋;𝐃𝐑

You can't find people with similar values if you don't put yourself out there first. So start sharing about the things you care about - you never know who's reading. 😉
",317,8,TRUE
"1 foolproof way to improve your writing: copy writing

Here’s how:

1️⃣ Find a copy of your favourite piece of writing/author (it could be a novel, article or blog post)

2️⃣ Write it out, word-for-word, by hand

3️⃣ Do this for around ~15 minutes daily

4️⃣ Repeat daily

If I ever want to sound like someone I really admire, I do this & it really works.

Just reading works too, by writing by hand is far more effective.


P/S: If you’re looking for ideas of what to copy write, try the Boron Letters: (a series letters published by the famous copywriter Gary Halbert).

Let me know how it goes!

",13,4,FALSE
"What's the ""coolest"" thing to do these days?

Start a podcast 😉

Everyone is starting one. Or wants to start one.

Hard Truth: Over 80% of podcasts die because it takes an inordinate amount of time & effort, and very little thanks.

Somehow, has hit 112 episodes!

But I can still remember when I recorded my first interview with while stuck in Kathmandu (we had to redo the interview because the connection was rubbish).

Back when I was editing soundwaves & being inexperienced, thought I had to take out every single gap between words. [P/S: It sounded horrible. I ended up spending 20+ hours just to edit 1 episode!]

And very far from doing my first in-person interview for STIMY Ep 100, thanks to 's fantastic studio!!

It's been quite a journey.

STIMY has helped me:

🔥 Be featured multiple times on the , and most recently, !

🔥 Go viral on LinkedIn & be hired to do LinkedIn personal branding for founders!

🔥 Attract a book offer from one of the world's most prestigious publishing houses

🔥 Speak with former US Congressmen, retired 4 star generals, Olympians, Michelin-starred chefs, VCs, founders, viral Tik Tokers etc. (some of whom have become great friends!)

🔥 Had unique experiences e.g. learning to make Jewish beigels at London's most famous Jewish beigel shop (thanks, !)

🔥 Run 3 STIMY Hangouts & meet a whole bunch of really cool & interesting people (I hear you guys are still having besties meet-ups on your own!!)

All from a little podcast I started (and still run) at home.

For those who've been following my journey, thank you!!

Hong Yi did such a great job as a first time host, asking me about my journey thus far for Episode 100.

So if you'd like to hear how this lawyer stumbled into the world of podcasts, had the opportunity to speak with really cool people & balance it with a full-time job, then this is the episode for you. 😉


📍 Ep 100 is on YouTube! And all the podcast platforms you listen to. Just search for ""So This Is My Why Podcast"" or follow the links in the comment below.

Special thanks to for the fantastic BTS video!


",40,1,TRUE
"I found a penguin in... Japan!

Work has been unrelenting, it's strange to be on a break!

Kind of.

Do you have recommendations on:

- what to see;
- what to eat;
- anyone to meet (who might be a potential guest on ?) in Hokkaido?!

Being a content creator has rewired my brain 🧠.

I'm constantly on the lookout for more guests 🙊

Have a great break, everyone!


",88,2,TRUE
"Good things come to those who hustle.

Every rejection will always hurt, but there is a silver lining: we only 1 need YES to change our lives.

It's a simple truth.

(reporter/writer at ) lives it.

I'm sure you know it.

But sometimes, I find it helpful to have someone remind me too.

So go out there, hustler!

Just don't forget to enjoy your weekend too. 😝


P/S: To listen to Michelle's interview on the , follow the links in the comment below.

",16,1,FALSE
"🎙️ I'm excited to share that I've finally recorded my first few episodes of my podcast after years of thinking about it. As I spend time during this career break, part of the ""toxic trait"" of needing to be ""productive"" keeps coming into my internal monologue but it is something that I wanted to explore if it would be fun as a creative outlet. So I thought of just tinkering around and hit record!

Quick shout out to that runs that shared with me her lessons years ago and after a bit of studying and researching, here I am!

I'm not gonna lie, while I am used to presenting, pitching, and talking in front of small and large audiences, I can still feel quite uncomfortable promoting myself. So I just wanted this moment of learning and celebration to put myself out there and see where this journey goes.

🌟 Join me on ""The Zhen Way Podcast"" as we embark on a journey through the realms of leadership, career, technology, mental health, organizational psychology, and much more. Whether you're a seasoned professional or a perpetually curious mind, this podcast will have something for you.

As someone who initially ventured into the world of psychology but later navigated a dynamic career path encompassing banking, consulting, and health tech, I've experienced diverse perspectives that have enriched my understanding of life's intricacies.

From trying to understand the mysteries of human behavior to dive deep into the intricacies of tech trends, my fascination with the world around me goes broad and in-depth in some areas.

What to Expect:

Each week, I dissect the insights I've gathered from my own or my guests' journey. Join me as we explore leadership dynamics, career trajectories, the ever-evolving landscape of technology, the nuances of cultures, the importance of mental well-being, and the fascinating world of organizational psychology.""

I intend for this podcast to be an open platform where I scratch my own itch for knowledge and share the invaluable lessons I've learned along the way. It's a space where we can learn and grow together, inspired by countless stories.

My hope is for you to find something interesting and fascinating for yourself as I try to satisfy my own curiosity and have some fun.
See you there!



#
",0,0,FALSE
"Wanna make new friends together? 🤫

Issue: The older we get, the harder it is to make / maintain relationships.

It’s also hard to do it alone.

So here’s what I propose: Every week, we will have participate in a mini-challenge designed to get us out of our comfort zone to network with other people & share the results/experience online (if you’re comfortable).

Why do it?
1️⃣ Just joining this challenge will let you meet new people 
2️⃣ It’s a “public vow” to do this for 5 weeks - a little pressure can be good
3️⃣ You get to reconnect & meet new people!
4️⃣ Be inspired by how other people are executing the challenges 
5️⃣ You'll get content to write on LinkedIn
6️⃣ And tick off a New Year Reso? 😉
7️⃣ Most importantly, have a little fun 🎉

Wanna join?

It’s 100% free.

Just leave a comment below and I’ll add you to the group!


",17,3,FALSE
Wow! Thank you Chow Boon Sim 😱,26,3,FALSE
"You don’t have to go viral on LinkedIn to “succeed”.

And the reason is simple:

Virality doesn’t often translate into sales / connections.

It’s pure vanity.

Here’s how I’d think of it instead:

*

When I was an in-house counsel, we’d sometimes look for external counsel to give instructions to.

We Google.

And also use LinkedIn to learn more about each lawyer.

Fact is, most lawyers and law firms don’t write any articles.

But if you’ve written something related to AI language modelling and I have an AI linguistic query, I’m much more likely to reach out to explore working with you.

Because you stand out from the sea of “IP lawyers” who have shown zero interest in the web3 world (that I can see).

This brings me to LinkedIn writing.

And why I strongly believe that we’re moving to a world where most professionals MUST be content creators of some sort.

1️⃣ Large firms are bureaucratic.

You have to be given permission to write.

It takes forever to publish.

And publishing once every two months barely cuts it, given how fast the world is changing.

Not so with a LinkedIn post.

2️⃣ Your personal LinkedIn profile is personal.

You must’ve seen LinkedIn company pages.

LinkedIn itself barely gives those an algo boost.

A post I write on my personal profile can get 4000 views and 10 views on the STIMY company page.

Moreover with your profile, you can showcase your personality.

And that helps you stand out even more.

If you think about it, everything is just storytelling.

Know why you’re writing, and adapt your story to suit your needs.

If you’ve gone to a conference, you don’t have to just say “so privileged to have attended and met these people!”.

I’m sorry but
- everyone says it; and
- I don’t care.

So make me care.

Tell me why I should care.

What excited you about meeting this person?

Because you’ve liaised online for thr longest time and finally met in person, and now you’re launching a virtual arbitration webinar together?

Now that’s interesting. Personal. Professional.

And just might attract other LinkedIn lurkers with the same interests as you.

3️⃣ You’re building your personal brand.

Your posts will always be a part of your profile.

It’s what you’ll be known for no matter what happens: resignation, layoffs, retirement.

And even if your post doesn’t go viral, a future client might find it.

That 1 post might just win you the mandate you want. 😉

*

All this to say - I think many people would benefit from writing more on LinkedIn.

NOT everyone can or need to.

But many more do.

And now is the perfect time, before even more people jump on the platform and drown our voices out!



P/S: Off for tea with a Law Lord today! One of the happy benefits of running the & writing on LinkedIn. 🤩

",65,1,FALSE
"4 harsh truths of being an online creator today:

1️⃣ Being an OG is a tremendous power & it’s almost impossible to replicate

2️⃣ What was applicable 10 years ago, is unlikely to be applicable now.

Even things that applied a year ago, probably won’t.

Remember the time when everyone used 30 hashtags on every IG post?

Then started posting reels?

And now repurpose their Tik Tok videos for use on the platform?

Recently, Adam Mosseri announced that Instagram has gone too deep into video and are going back to just photos. Not even carousel. 🤷🏻‍♀️

3️⃣ Competition

The beauty of working online is that almost everything can be reverse engineered.

If you can do it, so can everyone else.

And the more people join, the greater the competition.

4️⃣ Locality matters

Yes, the Internet helps level the playing field.

But it still plays a significant role.

People are still influenced by the thought that “you’re in Malaysia, so you should be cheaper”.

Or just want someone they can hire or interact with in their own time zone.

Then there are the platforms themselves: Tik Tok shows & promotes content depending on where you are. If you want to attract a European audience, then you need to be in Europe.

Not Malaysia.

The algorithm won’t showcase your content otherwise.

The life of a content creator is a lot harder than it seems. 😅

",13,7,FALSE
"Amanda Cua of BackScoop is coming on the So This Is My Why Podcast!!

ICYMI - 20-year-old Amanda runs one of Southeast Asia's hottest newsletters, Backscoop, which highlights all the news you need to know in the SEA tech scene.

In 1+ year, she's:

🔥 Grown Backscoop to over 10k followers
🔥 Launched a new offering (a podcast), on top of issuing Backscoop newsletters 4 times a week! (and running all this by herself 😱)
🔥 Been featured on
🔥 Moderated a spotlight session at with , co-founder of &

All this, despite never going to college!

A decision made during the pandemic when she decided to take a gap year instead of attending college online.

Instead, she became the first employee at YC-backed edtech , working in marketing & growth, customer success and admissions and B2B sales.

During her time there, she managed over 200 students and the company grew to 140 corporate partners with funding obtained from !

Until she noticed a problem in the market: It was tough keeping up with Southeast Asian tech news, especially in the Philippines (where Amanda is based).

So what did she do?

Solve her own problem!

By launching Backscoop in August 2021, a month after leaving her job.

And monetising 4 months later with .

Amanda is clearly just getting started & will have tons of wisdom to share as a young in Southeast Asia.

**

Do you have any questions you'd like to ask Amanda?

Please leave a comment below! 😊


",25,8,FALSE
